q1	q2	q19	q20	q25	q47	q50a	q50b	q50c	q50d	q50e	q58	q60	q61a	q61b	q61c	q64	q65a	q65b	q65c	q65d	q65e	q66	q68a	q68b	q68d	q69	q70	q71	q75
70	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	Only a little	Not fair at all	Not at all	Not at all	A lot	Not at all	A lot	Losing influence	(VOL) Don't know/Refused	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
71	Dissatisfied	Disapprove	Most of the time	Basically content	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Some	Moderately fair	Some	Some	A lot	Not too much	A lot	Increasing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not at all well	A lot
72	Dissatisfied	Approve	Most of the time	(VOL) Don't know/Refused	Only some of the time	No, not keeping promises	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Statement #1	(VOL) Don't know/Refused	Statement #2	Oppose	(VOL) Don't know/Refused	A lot	None at all	None at all	Moderately fair	Not at all	Not at all	Not at all	Not too much	(VOL) Don't know/Refused	Losing influence	Unfriendly toward religion	Friendly toward religion	(VOL) Don't know/Refused	Should express their views on day-to-day social and political questions	Approve	(VOL) Don't know/Refused	A little
73	Dissatisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #2	Statement #2	Strongly oppose	Never fair game	Only a little	Some	A lot	Moderately fair	A lot	Some	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Not too well	A little
74	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Only a little	Only a little	Only a little	Moderately fair	Not too much	Not too much	Not too much	A lot	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Very well	A lot
75	Dissatisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Not too fair	A lot	Some	Some	Not too much	Some	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not too well	A lot
76	Dissatisfied	Approve	Most of the time	Angry	(VOL) Never	(VOL) Don't know/Refused	Statement #2	Statement #2	(VOL) Neither/Both equally	Statement #2	(VOL) Neither/Both equally	Oppose	(VOL) Other/Depends	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot	Not fair at all	Not too much	A lot	(VOL) Don't know/Refused	Not at all	(VOL) Don't know/Refused	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
77	Satisfied	Approve	Most of the time	Basically content	Just about always	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Oppose	(VOL) Don't know/Refused	Only a little	Some	Some	Moderately fair	Not too much	Some	Not at all	Not too much	Not at all	(VOL) Don't know/Refused	Friendly toward religion	Friendly toward religion	Neutral toward religion	(VOL) Don't know/Refused	Approve	Somewhat well	Nothing at all
78	Dissatisfied	Disapprove	Most of the time	Frustrated	(VOL) Don't know/Refused	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	Some	Some	Some	Not too fair	A lot	A lot	A lot	Not too much	A lot	Losing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
79	Satisfied	Approve	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #1	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Only a little	Only a little	Only a little	Very fair	A lot	Some	Not at all	Not at all	Some	Losing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	(VOL) Don't know/Refused	Approve	Very well	A lot
80	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #2	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Very fair	Not too much	A lot	A lot	Some	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Not at all well	A lot
81	Dissatisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #1	Statement #2	Statement #2	Oppose	Sometimes fair game [OR IS IT]	Some	Only a little	Some	Not too fair	A lot	A lot	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A little
82	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	None at all	Moderately fair	Not at all	A lot	Not too much	Not at all	Some	Increasing influence	Friendly toward religion	Unfriendly toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
83	Dissatisfied	Disapprove	Most of the time	Frustrated	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Some	Moderately fair	Not too much	A lot	A lot	Not at all	A lot	(VOL) Don't know/Refused	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
84	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Not fair at all	Some	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
85	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Moderately fair	Some	Some	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
86	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	Some	Some	Not too fair	Not too much	Some	A lot	Not at all	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
87	Satisfied	Approve	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #2	Favor	Sometimes fair game [OR IS IT]	None at all	None at all	None at all	Not too fair	A lot	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Not at all well	A lot
88	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #1	Statement #2	Statement #1	Favor	Never fair game	Some	Only a little	Some	Not too fair	Some	A lot	Some	Not at all	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
89	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #2	Favor	Never fair game	A lot	A lot	Some	Not fair at all	A lot	A lot	A lot	Some	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
90	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Favor	Never fair game	Some	Some	A lot	Not fair at all	A lot	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
91	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #2	(VOL) Don't know/Refused	Statement #2	(VOL) Neither/Both equally	Statement #1	(VOL) Don't know/Refused	Never fair game	A lot	A lot	Only a little	Not too fair	Some	Some	Some	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
92	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	None at all	Moderately fair	Not too much	Some	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
93	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Favor	Never fair game	A lot	A lot	A lot	Not fair at all	A lot	A lot	A lot	A lot	A lot	Increasing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
94	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Some	A lot	None at all	Moderately fair	Not at all	Some	Some	Not at all	Some	Increasing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
95	Dissatisfied	Disapprove	Most of the time	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #2	Favor	Never fair game	A lot	A lot	None at all	Not fair at all	A lot	A lot	A lot	A lot	A lot	Increasing influence	Friendly toward religion	(VOL) Don't know/Refused	Friendly toward religion	(VOL) Don't know/Refused	Disapprove	Not too well	A lot
96	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	None at all	None at all	None at all	Moderately fair	Some	A lot	Some	Some	Some	Losing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
97	(VOL) Don't know/Refused	Approve	Most of the time	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Statement #1	Statement #2	(VOL) Neither/Both equally	Statement #1	Statement #1	(VOL) Don't know/Refused	(VOL) Other/Depends	Only a little	Some	A lot	Moderately fair	Some	Some	A lot	A lot	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
98	Satisfied	Approve	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Only a little	Only a little	Only a little	Moderately fair	Not at all	Not at all	Not at all	Not at all	Not at all	Increasing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A little
